English lemma,Swedish lemma,POS,status
802.15.4,802.15.4,,invalid characters in lemma
clc/ts 50701,clc/ts 50701,,invalid characters in lemma
iso/sae 21434,iso/sae 21434,,invalid characters in lemma
waveguide,v°agledare,,invalid characters in lemma
wave propagation,v°agutbredning,,invalid characters in lemma
electromagnetic fields,elektromagnetiska f¨alt,,invalid characters in lemma
matlab/simulink,matlab/simulink,,invalid characters in lemma
thevenin equivalent circuit,thévenin-ekvivalent krets,,invalid characters in lemma
computational physics,beräkningsfysik,,invalid characters in lemma
flux 2d,flux 2d®,,invalid characters in lemma
e/e architecture,e/e arkitektur,,invalid characters in lemma
x.509,x.509,,invalid characters in lemma
wav2vec 2.0,wav2vec 2.0,,invalid characters in lemma
tcp/ip,tcp/ip,,invalid characters in lemma
asp.net,asp.net,,invalid characters in lemma
super–junction,super–junction,,invalid characters in lemma
6.5 kv,6.5 kv,,invalid characters in lemma
receiver operating characteristic curve,”receiver operating characterstic”-kurva,,invalid characters in lemma
image processing; image signal processor; machine vision; autonomous cars,bildbehandling; bildsignalprocessor; machine vision; autonoma bilar,,invalid characters in lemma
xanthine; oect; biosensor; pibet-ao; xanthine oxidase,xantin; oect; biosensor; pibet-ao; xantinoxidas,,invalid characters in lemma
lgbtq+,hbtq+,,invalid characters in lemma
women’s perceived safety,kvinnors uppfattade trygghet,,invalid characters in lemma
ci/cd,ci/cd,,invalid characters in lemma
systemc tlm-2.0,systemc tlm-2.0,,invalid characters in lemma
grüneisen parameter,grüneisen parameter,,invalid characters in lemma
vibrational modes (g,vibrationslägen (g,,invalid characters in lemma
rblm),rblm),,invalid characters in lemma
diffeomorphic registration,diffeomorąsk registrering,,invalid characters in lemma
alzheimeršs disease,alzheimers sjukdom,,invalid characters in lemma
users’ privacy concerns,användarintegretet,,invalid characters in lemma
parasoft c/c++ test,parasoft c/c++ test,,invalid characters in lemma
wlan 802.11a,wlan 802.11a,,invalid characters in lemma
ieee 802.11,ieee 802.11,,invalid characters in lemma
.net,.net,,invalid characters in lemma
oste+,oste+,,invalid characters in lemma
multiple escrow agents,"flera ""escrow agents""",,invalid characters in lemma
shamir’s secret sharing,shamirs krypteringsmetod,,invalid characters in lemma
o&m scheduling,planering av drift och underhåll,,invalid characters in lemma
polarization beam splitter,polarisationsstr°aldelare,,invalid characters in lemma
"""quantified self"" ""behaviour change"" ""social comparison"" ""sustainability"" ""meat consumption""","""självkvantifiering"" ""beteendeförändring"" ""social jämförelse"" ""hållbarhet"" ""köttkonsumtion""",,invalid characters in lemma
layer­2 technology,layer­2 technology,,invalid characters in lemma
women's health,kvinnohälsa,,invalid characters in lemma
5g/4g,5g/4g,,invalid characters in lemma
openfoam®,openfoam®,,invalid characters in lemma
alzheimer’s disease detection,detektion av alzheimer’s sjukdom,,invalid characters in lemma
wav2vec2.0,wav2vec2.0,,invalid characters in lemma
observability analysis,laddningstillst°and,,invalid characters in lemma
earth’s bow shock,jordens bogchock,,invalid characters in lemma
open apis,öppna api:er,,invalid characters in lemma
high power & high voltage dc-dc converter,high power dc / dc-omvandlare med hög spänning,,invalid characters in lemma
isolated & non-isolated dc-dc converter,isolerad och icke-isolerad dc-dc-omvandlare,,invalid characters in lemma
hvdc/ mvdc interconnection,hvdc / mvdc-anslutning,,invalid characters in lemma
hvdc/hvdc point-to-point link,hvdc/hvdc-punkt-till-punkt-länk,,invalid characters in lemma
steady state & transient dc fault analysis,stabilitet dc felanalys,,invalid characters in lemma
100% renewable,100% förnybar,,invalid characters in lemma
ieee 802.15.4a,ieee 802.15.4a,,invalid characters in lemma
.net,.net,,invalid characters in lemma
developers’ self-governance,self-governance,,invalid characters in lemma
data quality,datakvalité,,invalid characters in lemma
bow shock - interplanetary magnetic field interaction,växelverkan bogchock/interplanetära magnetfältet,,invalid characters in lemma
shor’s algorithm,shors algorithm,,invalid characters in lemma
grover’s algorithm,grover’s algoritm,,invalid characters in lemma
control/display ratio modification,ändring av kontroll-/visningsförhållande,,invalid characters in lemma
object & defect detection,objekt och defekt detektering,,invalid characters in lemma
a/b tests,a/b-tester,,invalid characters in lemma
pub/sub,pub / sub,,invalid characters in lemma
record & replay tools,inspelnings- ochateruppspelningsverktyg,,invalid characters in lemma
traﬀic state estimation,trafiklägesuppskattning,,invalid characters in lemma
macroscopic traﬀic model,makroskopisk trafikmodell,,invalid characters in lemma
ieee 802.1as,ieee 802.1as,,invalid characters in lemma
human’s mental model,människans mentala modell,,invalid characters in lemma
upcycling,"""upcycling""",,invalid characters in lemma
sökkontrakt,sökkontrakt,,invalid characters in lemma
observational model · side-channel analysis and countermeasures · embedded systems security · model-based testing,observationsmodell · sidokanal analys och motåtgärder · inbyggda system säkerhet · model-baserad testning,,invalid characters in lemma
serializer/deserializer,serializer / deserializer,,invalid characters in lemma
key quality indicators v/s network conditions,nyckelkvalitetsindikatorer v/s nätverksvillkor,,invalid characters in lemma
d3.js,d3.js,,invalid characters in lemma
matlab filmtrailers film visuell jämförelse,matlab film trailers visual comparison,,invalid characters in lemma
ieee 802.11ax,ieee 802.11ax,,invalid characters in lemma
ieee 802.11be,ieee 802.11be,,invalid characters in lemma
oauth2.0,oauth2.0,,invalid characters in lemma
internet of things,sakernas internet,,both misspelt
object-detectiopn,objekt-detectiopn,,both misspelt
yolov4,yolov4,,both misspelt
espnetv2,espnetv2,,both misspelt
carla,carla,,both misspelt
environmental awareness,miljomedvetenhet,,swedish misspelt
sustainable hci,hallbar mdi,,both misspelt
generative adversarial network,generativt kontroversiellt nätverk,,english misspelt
3d morphable model,3d-morphable-läge,,both misspelt
dip coating,dip-beläggning,,swedish misspelt
passive rf devices,passiva rf-enheter,,swedish misspelt
modeling and simulation,modellering och simulering,,english misspelt
life and medical sciences,livs och medicinska vetenskaper,,english misspelt
artificial neural networks,artificiellt neurala nätverk,,swedish misspelt
hybrid vits,hybrida vits,,english misspelt
near-infrared  images,nära-infraröda  bilder,,english misspelt
convolutional neural networks,konvolutionsneurala nätverk,,both misspelt
multi-head attention,multi-head attention,,both misspelt
red-green-blue  images,röd-grön-blå  bilder,,english misspelt
volumetric video production,volumetrisk videoproduktion,,swedish misspelt
digital human with 3d object manipulation,digital människa med 3d-objektmanipulation,,english misspelt
human-computer interaction,människadatorinteraktion,,swedish misspelt
indoor positioning,inomhuspositionering,,swedish misspelt
magnetic positioning,magnetisk positionering,,swedish misspelt
signal transportation,signal transportation,,swedish misspelt
threedimensional visualization,tredimensionell visualisering,,english misspelt
3g,3g,,both misspelt
umts,umts,,both misspelt
tcp performance,tcp prestanda,,swedish misspelt
hsdpa,hsdpa,,both misspelt
hs-dsch,hs-dsch,,both misspelt
5th generation network,5g,,swedish misspelt
testbed,testbed,,english misspelt
tcp,tcp,,swedish misspelt
5g,5g,,both misspelt
handover,fasp,,swedish misspelt
fasp,cubic tcp,,both misspelt
cnn,cnn,,both misspelt
svm,svm,,both misspelt
dbscan,dbscan,,both misspelt
mimo,mimo,,both misspelt
matrix factorisation,matrisfaktorisering,,swedish misspelt
command and control,ledning och kontroll,,english misspelt
microsoft teams,microsoft teams,,both misspelt
gtzan,gtzan,,both misspelt
fma,fma,,both misspelt
lstm,lstm,,both misspelt
postgresql,postgresql,,both misspelt
timescaledb,timescaledb,,both misspelt
mongodb,mongodb,,both misspelt
association rule hiding,associationsregeldöljning,,swedish misspelt
enterprise integration,enterprise integration,,swedish misspelt
zapier,zapier,,both misspelt
ifttt,ifttt,,both misspelt
ipaas,ipaas,,both misspelt
few-shot learning,few-shot inlärning,,swedish misspelt
k-fold,k-faldig korsvalidering,,swedish misspelt
kennard-stone algorithm,kennard-stone-algoritm,,both misspelt
data splitting,datapartitionering,,swedish misspelt
bootstrap,bootstrap,,swedish misspelt
overfitting,överanpassning,,english misspelt
spxy,spxy,,both misspelt
omnidirectional drive,omnidirektionell drift,,swedish misspelt
mobile platform drive,mobil plattformsdift,,swedish misspelt
holonomic mobile manipulator,holonomisk mobil manipulator,,both misspelt
non-holonomic mobile manipulator,icke-holonomisk mobil manipulator,,both misspelt
progressive web application,progressiv webbapplikation,,swedish misspelt
mobile apps,mobilapplikationer,,english misspelt
responsiveness,responsivitet,,swedish misspelt
schemaless,schemaless,,english misspelt
database,database,,swedish misspelt
sql,sql,,both misspelt
comparison,comparison,,swedish misspelt
performance,performance,,swedish misspelt
ycsb,ycsb,,both misspelt
benchmark,benchmark,,swedish misspelt
bert,bert,,both misspelt
gyafc,gyafc,,both misspelt
encoder-decoder models,kodnings-avkodningsmodeller,,english misspelt
pickup and delivery,pickup and delivery,,both misspelt
dial-a-ride,dial-a-ride,,swedish misspelt
large neighborhood search,large neighborhood search,,swedish misspelt
clustering,klustring,,swedish misspelt
degoo,degoo,,both misspelt
image clustering,bildklustring,,swedish misspelt
arima,arima,,both misspelt
prophet,prophet,,swedish misspelt
artificial neural network,artificiell neuralt nätverk,,swedish misspelt
pid controller,pid-kontroller,,swedish misspelt
smartphones,smartphones,,both misspelt
serverless,serverlös,,both misspelt
azure,azure,,swedish misspelt
convolutional neural network,faltade neurala nätverk,,both misspelt
pad-ufes-20,pad-ufes-20,,both misspelt
isic,isic,,both misspelt
ndb,ndb,,both misspelt
aerospike,aerospike,,both misspelt
nosql,nosql,,both misspelt
online feature stores,online feature stores,,swedish misspelt
tf-idf,tf-idf,,both misspelt
sbert,sbert,,both misspelt
thesis,thesis,,swedish misspelt
gnss,gnss,,both misspelt
gps,gps,,swedish misspelt
galileo,galileo,,swedish misspelt
smartphone,smarttelefon,,both misspelt
gpu,gpu,,both misspelt
microcontroller,mikrokontroller,,english misspelt
arduino,arduino,,both misspelt
personalization,personalisering,,both misspelt
in-vehicle infotainment,infotainment i fordonet,,swedish misspelt
hiv,hiv,,swedish misspelt
deep learning,deep learning,,swedish misspelt
convolutional neural network,convolutional neural network,,both misspelt
hadoop,hadoop,,both misspelt
parametric modeling,parametrisk utformning,,swedish misspelt
openstack,openstack,,both misspelt
qt,qt,,both misspelt
bluetooth low energy,bluetooth low energy,,both misspelt
wearable electronics,wearable electronics,,swedish misspelt
health care,health care,,swedish misspelt
qml,qml,,both misspelt
ios,ios,,swedish misspelt
technology acceptance model 3,technology acceptance model 3,,swedish misspelt
iot wearables,sakernas internet bärbara enheter,,both misspelt
cybersecurity,cybersäkerhet,,english misspelt
fuzzing,störningsattacker,,english misspelt
nfv,nfv,,both misspelt
sdn,sdn,,both misspelt
vnf,vnf,,both misspelt
virtualization,virtualization,,both misspelt
convolutional neural networks,convolutional neural networks,,both misspelt
ehr,ehr,,both misspelt
icd-10,icd-10,,both misspelt
multi-layer perceptron,multi-layer perceptron,,both misspelt
deep neural networks,djupa neurala nätverk,,swedish misspelt
length-of-stay prediction,klassificering av multivariat tidsserie,,both misspelt
predictive maintenance,prediktivt underhåll,,swedish misspelt
variational autoencoder,variationsautokodare,,english misspelt
gated recurrent unit,gated recurrent unit,,swedish misspelt
gru,gru,,both misspelt
inne,inne,,english misspelt
iforest,iforest,,both misspelt
kth nearest neighbor,kth närmaste granne,,both misspelt
knn,knn,,both misspelt
deformable objects,deformerbara föremål,,english misspelt
gdpr,gdpr,,both misspelt
aws,aws,,both misspelt
end- user data control,kontroll av slutanvändardata,,english misspelt
bluetooth,bluetooth,,both misspelt
front-end,front-end,,swedish misspelt
procedural generation,procedurell generering,,swedish misspelt
pcg,pcg,,both misspelt
phase-locked-loops,fas-låsd-loop,,swedish misspelt
time-to-digital converters,tid-till-digital-omvandlare,,english misspelt
5g and beyond,5g och framtiden,,english misspelt
product lifecycle management,product lifecycle management,,both misspelt
cluster head,cluster head,,swedish misspelt
cloud computing,cloud computing,,swedish misspelt
kubernetes,kubernetes,,both misspelt
reactive extensions,reactive extensions,,swedish misspelt
api design,api-design,,both misspelt
bipartite graph,bipartitgraf,,swedish misspelt
perlin noise,perlin noise,,both misspelt
diamond-square,diamond-square,,swedish misspelt
robotics operating system,robotics operating system,,swedish misspelt
multi-access edge computing,multi-access edge computing,,both misspelt
traffic failover,trafikfel,,english misspelt
anycast,anycast,,both misspelt
api,api,,both misspelt
content driven api,innehållsdriven api,,both misspelt
graphql,graphql,,both misspelt
api test application,api testapplikation,,both misspelt
docker containers,sakernas internet,,swedish misspelt
internet of things,felfrekvens,,english misspelt
availability,iot-arkitektur,,swedish misspelt
iot architecture,till-förlitlighetsblockdiagram  canvas lärplattform,,both misspelt
failure modes,dockerbehållare,,swedish misspelt
tcn,tcn,,both misspelt
remote photoplethysmogram,fjärrfotopletysmogram,,both misspelt
photoplethysmography,fotopletysmografi,,both misspelt
random forest regression,random forest regression,,swedish misspelt
padel,padel,,both misspelt
sweden,sverige,,swedish misspelt
shap,shap,,both misspelt
porting,portering,,swedish misspelt
rust,rust,,swedish misspelt
multilingual sentence embeddings,språkagnostiska meningsvektorer,,english misspelt
qadatasets,fråga-svarskorpusar,,english misspelt
lesser-resourced languages,språk med mindre resurser,,english misspelt
raspberry pi,raspberry pi,,swedish misspelt
crm,crm,,both misspelt
b2b,b2b,,both misspelt
multivariate,multivariat,,swedish misspelt
pyisc,pyisc,,both misspelt
lof,lof,,both misspelt
ddm,ddm,,both misspelt
cusum,cusum,,both misspelt
fcwm,fcwm,,both misspelt
data mining,data mining,,swedish misspelt
iis,iis,,swedish misspelt
web server,webbserver,,swedish misspelt
mysql,mysql,,both misspelt
swift,swift,,swedish misspelt
the actor model,actor-modellen,,both misspelt
sonic interaction,sonic interaction,,swedish misspelt
virtual reality,virtual reality,,swedish misspelt
human computer interaction,human computer interaction,,swedish misspelt
unity,unity,,swedish misspelt
europa,europa,,swedish misspelt
total number of molecules,total mängd molekyler,,english misspelt
siem,siem,,both misspelt
elastic search,elastic search,,swedish misspelt
fpga,fpga,,both misspelt
coarse-grained,coarse-grained reconfigu- rable,,swedish misspelt
noc,noc,,swedish misspelt
bundled-data,bundled data kommunikation,,swedish misspelt
continuous deep analytics,kontinuerlig djup analys,,english misspelt
domain specific langauges,domänspeficika språk,,both misspelt
scala,scala,,both misspelt
testbeds,testbäddar,,english misspelt
living lab,living lab,,swedish misspelt
scalable webbased system,skalbart webbaserat system,,both misspelt
secure messaging,secure messaging,,swedish misspelt
end-to-end encryption,end-to-end encryption,,swedish misspelt
android security,android security,,swedish misspelt
bluetooth,bluetooth,,both misspelt
gateway,gateway,,swedish misspelt
saber kem,saber kem,,both misspelt
public-key cryptography,asymetrisk kryptering,,swedish misspelt
kyber,kyber,,both misspelt
saber,saber,,swedish misspelt
distributed denial of service attacks,distributed denial of service attacks,,both misspelt
ddos,ddos,,both misspelt
application layer,application layer,,swedish misspelt
detection,detection,,swedish misspelt
gate-all-around,gate-all-around,,swedish misspelt
nanosheet field effect transistors,nanoblad fälteffekttransistorer,,english misspelt
tcad,tcad,,both misspelt
natural language processing,natural language processing,,swedish misspelt
bidirectional encoder representations from transformers,bidirectional encoder representations from transformers,,both misspelt
relevance ranking,relevansranking,,swedish misspelt
chatbot,chat-bot,,both misspelt
investigative method,undersokande metod,,swedish misspelt
web tool,webbverktyg,,swedish misspelt
network-on-chip,nätverk-på-chip,,swedish misspelt
mediacenter,mediecenter,,english misspelt
smart and ip-able tv,smart tv,,english misspelt
software development kit,software development kit,,swedish misspelt
ann,ann,,english misspelt
event-based cameras,eventbaserade kameror,,swedish misspelt
random forest,random forest,,swedish misspelt
xgboost,xgboost,,both misspelt
smartphone,smarttelefon,,both misspelt
voiceover,voiceover,,both misspelt
objective-driven motion generation,procedurell animation,,swedish misspelt
deep learning-based clustering model,rig-agnostisk-kodning,,swedish misspelt
procedural animation,djupinlärningsbaserad klusteringsmodel,,swedish misspelt
gazebo,gazebo,,swedish misspelt
yolo,yolo,,both misspelt
interledger protocol,interledger-protokoll,,english misspelt
sidechains,sidokedjor,,english misspelt
behavior driven development,behavior driven development,,swedish misspelt
bdd,bdd,,both misspelt
agile development,agil utveckling,,swedish misspelt
ai,ai,,swedish misspelt
web development,webbutveckling,,swedish misspelt
femtocells,femotceller,,english misspelt
wifi aps,wifi aps,,both misspelt
carrier aggregation,carrier aggregation,,swedish misspelt
sut,sut,,both misspelt
geolocation,lokalisering,,english misspelt
uav,drönare,,english misspelt
yolov3,yolov3,,both misspelt
kcf,kcf,,both misspelt
time series classification,tidsseriesklassifiering,,swedish misspelt
gated recurrent unit,gated recurrent unit,,swedish misspelt
waveguide slot,waveguide-kortplats,,swedish misspelt
lens-beamforming,lens-beamforming,,both misspelt
trust region method,trust region method,,swedish misspelt
optimal control,optimal control,,swedish misspelt
model predictive control,model predictive control,,swedish misspelt
real-time web,realtidswebb,,swedish misspelt
web information extraction,informationsextraktion från webben,,swedish misspelt
web portal,webbportal,,swedish misspelt
data mining,data mining,,swedish misspelt
web scraper,web scraper,,swedish misspelt
web forums,web forums,,swedish misspelt
text-extraction,text-extraction,,swedish misspelt
link duplicates,link duplicates,,swedish misspelt
gate bias stress,gate spännings-stress,,swedish misspelt
on-state resistance,on-resistansen,,swedish misspelt
autodock,autodock,,english misspelt
tensor core,tensor core,,swedish misspelt
cell-free massive mimo,cellfri massiv mimo,,both misspelt
multi-objective optimization,multiobjektiv optimering,,english misspelt
error vector magnitude,error vector magnitude,,swedish misspelt
pdf,pdf,,both misspelt
excel,excel,,swedish misspelt
text parsing,text parsing,,swedish misspelt
soma design,soma design,,swedish misspelt
material explorations,material exploration,,swedish misspelt
twitter,twitter,,swedish misspelt
negative dielectrophoresis,negativ dielektrofores,,english misspelt
droplet microfluidics,droppmikrofluidik,,both misspelt
low conductivity medium,medium med låg konduktivitet,,swedish misspelt
cell viability,cellviabilitet,,swedish misspelt
comsol electric field simulation,comsol elektrisk fältsimulering,,both misspelt
joule heating,jouleuppvärmning,,swedish misspelt
rhodamine b temperature measurement,rhodamine b temperaturmätning,,both misspelt
microfluidic chip cleaning,mikrofluidisk chiprengöring,,both misspelt
bert,bert,,both misspelt
cyber environment,cyberdomänen,,english misspelt
lpwan,lpwan,,both misspelt
mnos,mnos,,both misspelt
cyber-security,cybersäkerhet,,english misspelt
ux practice,ux-övning,,both misspelt
work from home,hemarbete,,english misspelt
covid-19 pandemic,covid-19 pandemin,,both misspelt
information and communication technologies,informations- och kommunikationsteknik,,english misspelt
denial of service,överbelastningsattacker,,english misspelt
coap,coap,,both misspelt
bayesian estimation,bayesiansk berakning,,swedish misspelt
nonlinearity,icke-linjaritet,,both misspelt
extended target tracking,utstrackt malfoljning,,swedish misspelt
joint tracking and classication,simultan foljning och klassiering,,both misspelt
neural network,neuralt nätverk,,swedish misspelt
powerstrain,powerstrain,,both misspelt
ertms,ertms,,both misspelt
gsm,gsm,,both misspelt
etcs,etcs,,both misspelt
application programming interface,application programming interface,,swedish misspelt
trigger,trigger,,swedish misspelt
stage-gate,stage-gate,,swedish misspelt
administration of information,administration av information,,english misspelt
web service,webbtjänst,,swedish misspelt
educationalinformation,utbildningsinformation,,english misspelt
observability-driven development,observerbarhetsdriven utveckling,,both misspelt
end-to-end observability,observerbarhet från slut till slut,,english misspelt
opentelemetry,opentelemetry,,both misspelt
erp systems,affärssystem,,english misspelt
implema,implema,,both misspelt
alterview,alterview,,both misspelt
unit4agresso,unit4agresso,,both misspelt
ethernet,ehternet,,swedish misspelt
precision time protocol,precision time protocol,,swedish misspelt
round trip time  protocol,round trip time  protocol,,both misspelt
mobile crowd sensing,mobil crowd sensing,,swedish misspelt
sybil detection,sybil detektering,,english misspelt
matchmaking,matchmaking,,swedish misspelt
online first person shooter games,online first person shooter games,,swedish misspelt
hashicorp vault,hashicorp vault,,both misspelt
key management system,key management system,,swedish misspelt
aes,aes,,both misspelt
usim,usim,,both misspelt
milenage,milenage,,english misspelt
screaming channels,screaming channels,,swedish misspelt
keyword clustering,nyckelord klustring,,both misspelt
sentence embeddings,inbäddning av meningar,,english misspelt
unity 3d,unity 3d,,swedish misspelt
covid-19,covid-19,,both misspelt
keyword extraction,nyckelord extraktion,,english misspelt
low-dimensional nanomaterials,lågdimensionella nanomaterial,,english misspelt
percolation threshold,perkolering tröskel,,swedish misspelt
configurable observability,konfigurerbar observerbarhet,,english misspelt
deep q-learning,deep q-learning,,swedish misspelt
anomaly detection,anomali detection,,swedish misspelt
failure prediction,failure prediction,,swedish misspelt
log mining,log mining,,swedish misspelt
ip address,ip address,,swedish misspelt
neural networks,neurala nätverk,,swedish misspelt
top-1 error,top-1 error,,swedish misspelt
hardware simulation,maskinvaru simulering,,swedish misspelt
