,id,eng_lemma,swe_lemma,status,pos,src
328,GF86,arithmetic,aritmetik,silver,N,GF
330,GF87,array,fält,silver,N,GF
336,GF88,arrival,ankomst,silver,N,GF
339,GF89,article,artikel,silver,N,GF
340,GF90,articulate, artikulera,silver,V,GF
341,GF91,artificial,artificiell,silver,A,GF
343,GF92,artificial intelligence,artificiell intelligens,silver,N,GF
351,GF93,aspect,aspekt,silver,N,GF
353,GF94,assembly code,assemblykod,silver,N,GF
354,GF95,assembly programming,assemblerprogrammering,silver,N,GF
355,GF96,assembly,assembly,silver,N,GF
358,GF97,assess, bedöma,silver,V,GF
359,GF98,assessment,bedömning,silver,N,GF
361,GF99,assign, tilldela,silver,V,GF
362,GF100,assignment,inlämningsuppgift,silver,N,GF
365,GF101,assist, hjälpa,silver,V,GF
366,GF102,assistant,assistent,silver,N,GF
369,GF103,associate, associera,silver,V,GF
370,GF104,association,samband,silver,N,GF
371,GF105,associative,associativ,silver,A,GF
375,GF106,assume, anta,silver,V,GF
380,GF107,asymmetric,asymmetrisk,silver,A,GF
383,GF108,asymptotic,asymptotisk,silver,A,GF
384,GF109,asynchronous,asynkron,silver,A,GF
394,GF110,attachment,bilaga,silver,N,GF
396,GF111,attack model,attackmodell,silver,N,GF
397,GF112,attack, angripa,silver,V,GF
398,GF113,attack,attack,silver,N,GF
401,GF114,attenuation,försvagning,silver,N,GF
404,GF115,attribute,attribut,silver,N,GF
409,GF116,audio,ljud,silver,N,GF
419,GF117,authentication,autentisering,silver,N,GF
423,GF118,authore, författa,silver,V,GF
424,GF119,authority,myndighet,silver,N,GF
429,GF120,automata theory,automatteori,silver,N,GF
431,GF121,automate, automatisera,silver,V,GF
432,GF122,automated,automatiserad,silver,A,GF
450,GF123,automation,automatisering,silver,N,GF
451,GF124,automaton,automat,silver,N,GF
454,GF125,autonomous,självstyrande,silver,A,GF
456,GF126,availability,tillgång,silver,N,GF
457,GF127,available,tillgänglig,silver,A,GF
459,GF128,average,genomsnittlig,silver,A,GF
461,GF129,average,genomsnitt,silver,N,GF
465,GF130,axial,axial,silver,A,GF
467,GF131,bachelor,kandidat,silver,N,GF
471,GF132,background,bakgrund,silver,N,GF
482,GF133,balance, balansera,silver,V,GF
487,GF134,bandwidth,bandbredd,silver,N,GF
493,GF135,base, basera,silver,V,GF
495,GF136,basic,grundläggande,silver,A,GF
497,GF137,basic principle,grundprincip,silver,N,GF
498,GF138,basic,grund,silver,N,GF
501,GF139,batch,batch,silver,N,GF
508,GF140,baud,baud,silver,N,GF
516,GF141,begin, börja,silver,V,GF
520,GF142,behavior,beteende,silver,N,GF
521,GF143,behaviour,beteende,silver,N,GF
524,GF144,benchmark,riktvärde,silver,N,GF
536,GF145,bidirectional,dubbelriktad,silver,A,GF
538,GF146,big data,stor data,silver,N,GF
542,GF147,binary,binär,silver,A,GF
543,GF148,binary number,binärt tal,silver,N,GF
544,GF149,binary search algorithm,binärsökning,silver,N,GF
545,GF150,binary search tree,binärt sökträd,silver,N,GF
546,GF151,binary tree,binärträd,silver,N,GF
548,GF152,bind, binda,silver,V,GF
551,GF153,bioinformatics,bioinformatik,silver,N,GF
553,GF154,biology,biologi,silver,N,GF
557,GF155,bios,bios,silver,N,GF
558,GF156,bipolar,bipolär,silver,A,GF
562,GF157,bit rate,överföringskapacitet,silver,N,GF
563,GF158,bit,bit,silver,N,GF
565,GF159,bitrate,bithastighet,silver,N,GF
566,GF160,blacklist,svartlista,silver,N,GF
568,GF161,block, hindra,silver,V,GF
569,GF162,block,block,silver,N,GF
575,GF163,blueprint,blåkopia,silver,N,GF
576,GF164,bluetooth,blåtand,silver,N,GF
580,GF165,book, boka,silver,V,GF
581,GF166,boolean,boolesk,silver,A,GF
582,GF167,boolean data type,boolesk datatyp,silver,N,GF
584,GF168,boot, ladda,silver,V,GF
586,GF169,border, gränsa,silver,V,GF
587,GF170,border,gräns,silver,N,GF
590,GF171,bot,bot,silver,N,GF
593,GF172,bottleneck,flaskhals,silver,N,GF
596,GF173,bound, gränsa,silver,V,GF
600,GF174,boundary,gräns,silver,N,GF
604,GF175,branch, grena,silver,V,GF
605,GF176,branch,gren,silver,N,GF
608,GF177,breadth,bredd,silver,N,GF
613,GF178,bridge,brygga,silver,N,GF
626,GF179,broker,agent,silver,N,GF
633,GF180,bug,bugg,silver,N,GF
636,GF181,build, bygga,silver,V,GF
644,GF182,bulletin,rapport,silver,N,GF
648,GF183,bus,buss,silver,N,GF
652,GF184,business information system,affärsinformationssystem,silver,N,GF
666,GF185,business,företag,silver,N,GF
673,GF186,byte,byte,silver,N,GF
675,GF187,cable,kabel,silver,N,GF
679,GF188,cache memory,cacheminne,silver,N,GF
680,GF189,cache, gömma,silver,V,GF
681,GF190,cache,cache,silver,N,GF
690,GF191,calculation,beräkning,silver,N,GF
692,GF192,calculator,miniräknare,silver,N,GF
693,GF193,calculus,analys,silver,N,GF
700,GF194,call, anropa,silver,V,GF
701,GF195,call, kalla,silver,V,GF
702,GF196,call,krav,silver,N,GF
707,GF197,camera,kamera,silver,N,GF
715,GF198,capability,kompetens,silver,N,GF
720,GF199,capacity,kapacitet,silver,N,GF
721,GF200,capsule,kapsel,silver,N,GF
722,GF201,captcha,captcha,silver,N,GF
723,GF202,capture, fånga,silver,V,GF
726,GF203,card reader,kortläsare,silver,N,GF
728,GF204,card,kort,silver,N,GF
732,GF205,carriage,vagn,silver,N,GF
736,GF206,carrier,bärare,silver,N,GF
739,GF207,cartridge,patron,silver,N,GF
743,GF208,cassette,kassett,silver,N,GF
744,GF209,categorical,kategorisk,silver,A,GF
746,GF210,category,kategori,silver,N,GF
747,GF211,cathode,katod,silver,N,GF
751,GF212,cell,cell,silver,N,GF
758,GF213,central,central,silver,N,GF
770,GF214,challenge, utmana,silver,V,GF
771,GF215,challenge,utmaning,silver,N,GF
776,GF216,change, ändra,silver,V,GF
778,GF217,channel,kanal,silver,N,GF
784,GF218,character,karaktär,silver,N,GF
785,GF219,characteristic,karaktäristisk,silver,A,GF
792,GF220,chat,prat,silver,N,GF
793,GF221,chat, chatta,silver,V,GF
798,GF222,check, kontrollera,silver,V,GF
799,GF223,check,test,silver,N,GF
803,GF224,chip,chip,silver,N,GF
809,GF225,cipher,chiffer,silver,N,GF
811,GF226,circuit structure,kretsstruktur,silver,N,GF
812,GF227,circuit,krets,silver,N,GF
826,GF228,class diagram,klassmodell,silver,N,GF
828,GF229,class,klass,silver,N,GF
832,GF230,classification,klassificering,silver,N,GF
834,GF231,classifier,klassificerare,silver,N,GF
836,GF232,classless,klasslös,silver,A,GF
837,GF233,classroom,klassrum,silver,N,GF
839,GF234,click, klicka,silver,V,GF
840,GF235,client,klient,silver,N,GF
846,GF236,clock, klocka,silver,V,GF
847,GF237,clock,klocka,silver,N,GF
851,GF238,close, stänga,silver,V,GF
852,GF239,closure,hölje,silver,N,GF
854,GF240,cloud computing,datormoln,silver,N,GF
864,GF241,cloud,moln,silver,N,GF
867,GF242,cluster,kluster,silver,N,GF
875,GF243,code development tool,kodutvecklingsverktyg,silver,N,GF
877,GF244,code generator,kodgenerator,silver,N,GF
879,GF245,code, koda,silver,V,GF
880,GF246,code,kod,silver,N,GF
887,GF247,coding theory,kodningsteori,silver,N,GF
893,GF248,cognitive science,kognitionsvetenskap,silver,N,GF
897,GF249,coherency,sammanhang,silver,N,GF
907,GF250,collection,samling,silver,N,GF
909,GF251,collision,kollision,silver,N,GF
913,GF252,colour,färg,silver,N,GF
914,GF253,column,kolumn,silver,N,GF
917,GF254,combinatorial,kombinatorisk,silver,A,GF
924,GF255,comma,komma,silver,N,GF
927,GF256,command, kräva,silver,V,GF
928,GF257,command,kommando,silver,N,GF
929,GF258,command-line interpreter,kommandotolk,silver,N,GF
932,GF259,comment,kommentar,silver,N,GF
935,GF260,commercial,kommersiell,silver,A,GF
939,GF261,commercial,reklamfilm,silver,N,GF
942,GF262,commission,kommission,silver,N,GF
946,GF263,common,vanlig,silver,A,GF
949,GF264,communicate, kommunicera,silver,V,GF
951,GF265,communication system,kommunikationssystem,silver,N,GF
952,GF266,communication,kommunikation,silver,N,GF
955,GF267,communications protocol,kommunikationsprotokoll,silver,N,GF
959,GF268,community,grupp,silver,N,GF
963,GF269,comparable,jämförbar,silver,A,GF
966,GF270,comparison,jämförelse,silver,N,GF
967,GF271,compatibility,förenlighet,silver,N,GF
968,GF272,compatible,kompatibel,silver,A,GF
977,GF273,compilation,kompilering,silver,N,GF
978,GF274,compile, kompilera,silver,V,GF
979,GF275,compiler construction,kompilatorkonstruktion,silver,N,GF
980,GF276,compiler techniques,kompilatortekniker,silver,N,GF
981,GF277,compiler,kompilator,silver,N,GF
983,GF278,complement, komplettera,silver,V,GF
985,GF279,complete, avsluta,silver,V,GF
988,GF280,completion,komplettering,silver,N,GF
989,GF281,complex,komplex,silver,A,GF
992,GF282,complex,komplex,silver,N,GF
993,GF283,complexity analysis,komplexitetsanalys,silver,N,GF
998,GF284,complexity,komplexitet,silver,N,GF
1001,GF285,component,tillhörande,silver,A,GF
1002,GF286,component,komponent,silver,N,GF
1005,GF287,compose, komponera,silver,V,GF
1008,GF288,composition,komposition,silver,N,GF
1009,GF289,comprehend, begripa,silver,V,GF
1015,GF290,compulsory,obligatorisk,silver,A,GF
1018,GF291,computability theory,beräkningsteori,silver,N,GF
1019,GF292,computable,beräkningsbar,silver,A,GF
1022,GF293,computation,beräkning,silver,N,GF
1023,GF294,computational,beräkningsmässig,silver,A,GF
1024,GF295,computational biology,beräkningsbiologi,silver,N,GF
1025,GF296,computational chemistry,beräkningskemi,silver,N,GF
1030,GF297,computational physics,beräkningsfysik,silver,N,GF
1036,GF298,compute, beräkna,silver,V,GF
1039,GF299,computer architecture,datorarkitektur,silver,N,GF
1042,GF300,computer case,datorchassi,silver,N,GF
1044,GF301,computer construction,datorkonstruktion,silver,N,GF
1045,GF302,computer data storage,datorminne,silver,N,GF
1046,GF303,computer engineering,datateknik,silver,N,GF
1048,GF304,computer graphics,datorgrafik,silver,N,GF
1049,GF305,computer interaction,datorinteraktion,silver,N,GF
1051,GF306,computer mouse,datormus,silver,N,GF
1052,GF307,computer network,datornätverk,silver,N,GF
1053,GF308,computer program,datorprogram,silver,N,GF
1055,GF309,computer science,datavetenskap,silver,N,GF
1056,GF310,computer scientist,datalog,silver,N,GF
1057,GF311,computer security model,datasäkerhetsmodell,silver,N,GF
1058,GF312,computer security,datasäkerhet,silver,N,GF
1060,GF313,computer system architecture,datorsystemarkitektur,silver,N,GF
1061,GF314,computer system component,datorsystemkomponent,silver,N,GF
1063,GF315,computer system,datorsystem,silver,N,GF
1065,GF316,computer terminal,datorterminal,silver,N,GF
1069,GF317,computer vision,datorseende,silver,N,GF
1070,GF318,computer,dator,silver,N,GF
1087,GF319,computing capacity,beräkningskapacitet,silver,N,GF
1092,GF320,concatenation,konkatenering,silver,N,GF
1096,GF321,concept,koncept,silver,N,GF
1097,GF322,conceptual,begreppsmässig,silver,A,GF
1099,GF323,conceptualization,begreppsmässighet,silver,N,GF
1104,GF324,concrete,konkret,silver,A,GF
1107,GF325,concurrency,samtidighet,silver,N,GF
1108,GF326,concurrent,samverkande,silver,A,GF
1112,GF327,condition,villkor,silver,N,GF
1113,GF328,conditional,villkorlig,silver,A,GF
1119,GF329,conference,konferens,silver,N,GF
1123,GF330,confidential information,konfidentiell information,silver,N,GF
1126,GF331,configuration,konfiguration,silver,N,GF
1131,GF332,congestion control,stockningskontroll,silver,N,GF
1133,GF333,congestion,stockning,silver,N,GF
1134,GF334,congress,kongress,silver,N,GF
1137,GF335,conjunction,konjunktion,silver,N,GF
1139,GF336,connect, ansluta,silver,V,GF
1144,GF337,connection,anslutning,silver,N,GF
1148,GF338,connector,kopplingsdon,silver,N,GF
1150,GF339,conquer, erövra,silver,V,GF
1156,GF340,consistent,konsekvent,silver,A,GF
1158,GF341,console,konsol,silver,N,GF
1161,GF342,constant,konstant,silver,A,GF
1162,GF343,constant,konstant,silver,N,GF
1163,GF344,constrain, begränsa,silver,V,GF
1169,GF345,constraint,begränsning,silver,N,GF
1171,GF346,construct, konstruera,silver,V,GF
1172,GF347,construction,konstruktion,silver,N,GF
1174,GF348,constructor,konstruktor,silver,N,GF
1177,GF349,consumer,konsument,silver,N,GF
1180,GF350,consumption,konsumption,silver,N,GF
1184,GF351,container,behållare,silver,N,GF
1195,GF352,content,innehåll,silver,N,GF
1204,GF353,context,kontext,silver,N,GF
1209,GF354,context-free,kontextfri,silver,A,GF
1212,GF355,continual,ständig,silver,A,GF
1216,GF356,continuation,fortsättning,silver,N,GF
1218,GF357,continuity,kontinuitet,silver,N,GF
1220,GF358,continuous,kontinuerlig,silver,A,GF
1225,GF359,contravariance,kontravarians,silver,N,GF
1231,GF360,control flow,programflöde,silver,N,GF
1238,GF361,control system,styrsystem,silver,N,GF
1241,GF362,control unit,styrenhet,silver,N,GF
1242,GF363,control, kontrollera,silver,V,GF
1243,GF364,control,kontroll,silver,N,GF
1247,GF365,controller,kontrollant,silver,N,GF
1250,GF366,convention,konvention,silver,N,GF
1257,GF367,convergence,konvergens,silver,N,GF
1262,GF368,convert, omvandla,silver,V,GF
1263,GF369,converter,konverterare,silver,N,GF
1267,GF370,cooling,kylning,silver,N,GF
1270,GF371,cooperative,samverkande,silver,A,GF
1274,GF372,coordinate, samordna,silver,V,GF
1279,GF373,copy, kopiera,silver,V,GF
1280,GF374,copyright,upphovsrätt,silver,N,GF
1286,GF375,core memory,kärnminne,silver,N,GF
1287,GF376,core,kärna,silver,N,GF
1296,GF377,corporation,bolag,silver,N,GF
1298,GF378,correction,rättelse,silver,N,GF
1301,GF379,correctness,korrekthet,silver,N,GF
1307,GF380,cost,kostnad,silver,N,GF
1313,GF381,countermeasure,motåtgärd,silver,N,GF
1322,GF382,coupler,koppling,silver,N,GF
1324,GF383,course plan,kursplan,silver,N,GF
1325,GF384,course,kurs,silver,N,GF
1327,GF385,covariance,kovarians,silver,N,GF
1332,GF386,create, skapa,silver,V,GF
1334,GF387,creativity,kreativitet,silver,N,GF
1340,GF388,cross,kors,silver,N,GF
1346,GF389,crosstalk,överhörning,silver,N,GF
1349,GF390,cryptanalysis,kryptanalys,silver,N,GF
1354,GF391,cryptography,kryptografi,silver,N,GF
1355,GF392,cryptology,kryptologi,silver,N,GF
1356,GF393,crystal,kristall,silver,N,GF
1364,GF394,current,nuvarande,silver,A,GF
1368,GF395,current,ström,silver,N,GF
1370,GF396,curve, svänga,silver,V,GF
1371,GF397,curve,kurva,silver,N,GF
1382,GF398,customer,kund,silver,N,GF
1385,GF399,cyber security,cybersäkerhet,silver,N,GF
1386,GF400,cyberbullying,nätmobbning,silver,N,GF
1388,GF401,cybernetics,cybernetik,silver,N,GF
1389,GF402,cyberspace,cyberrymd,silver,N,GF
1390,GF403,cycle,cykel,silver,N,GF
1392,GF404,cyclic,cyklisk,silver,A,GF
1395,GF405,cylinder,cylinder,silver,N,GF
1399,GF406,daemon,daemon,silver,N,GF
1405,GF407,data abstraction,dataabstraktion,silver,N,GF
1408,GF408,data center,datorhall,silver,N,GF
1409,GF409,data collection,datasamling,silver,N,GF
1410,GF410,data communication,datakommunikation,silver,N,GF
1417,GF411,data dependency,databeroende,silver,N,GF
1422,GF412,data management,datahantering,silver,N,GF
1427,GF413,data mining,datautvinning,silver,N,GF
1429,GF414,data processing,databehandling,silver,N,GF
1432,GF415,data set,datamängd,silver,N,GF
1434,GF416,data storage device,lagringsmedium,silver,N,GF
1436,GF417,data structure,datastruktur,silver,N,GF
1441,GF418,data type,datatyp,silver,N,GF
1446,GF419,data,data,silver,N,GF
1455,GF420,database administator,databasadministratör,silver,N,GF
1464,GF421,database,databas,silver,N,GF
1471,GF422,day,dag,silver,N,GF
1477,GF423,death,död,silver,N,GF
1480,GF424,debugger,avlusare,silver,N,GF
1487,GF425,decide, bestämma,silver,V,GF
1490,GF426,decimal,decimal,silver,N,GF
1497,GF427,declaration,deklaration,silver,N,GF
1498,GF428,declare, deklarera,silver,V,GF
1500,GF429,decompose, nedbryta,silver,V,GF
1510,GF430,default,standard,silver,N,GF
1513,GF431,define, definiera,silver,V,GF
1515,GF432,definition,definition,silver,N,GF
1516,GF433,definitive,avgörande,silver,A,GF
1519,GF434,degree,examen,silver,N,GF
1524,GF435,delay,fördröjning,silver,N,GF
1528,GF436,delete, radera,silver,V,GF
1532,GF437,delivery,leverans,silver,N,GF
1539,GF438,denial,avslag,silver,N,GF
1544,GF439,density,densitet,silver,N,GF
1550,GF440,dependency,beroende,silver,N,GF
1555,GF441,depth,djup,silver,N,GF
1558,GF442,derive, derivera,silver,V,GF
1562,GF443,description,beskrivning,silver,N,GF
1563,GF444,descriptive,beskrivande,silver,A,GF
1577,GF445,design pattern,designmönster,silver,N,GF
1578,GF446,design process,designprocess,silver,N,GF
1585,GF447,design, designa,silver,V,GF
1586,GF448,design,design,silver,N,GF
1588,GF449,desirable,önskvärd,silver,A,GF
1590,GF450,desktop computer,skrivbordsdator,silver,N,GF
1593,GF451,desktop,skrivbord,silver,N,GF
1599,GF452,detect, upptäcka,silver,V,GF
1601,GF453,detection,upptäckt,silver,N,GF
1606,GF454,determine, fastställa,silver,V,GF
1607,GF455,deterministic,deterministisk,silver,A,GF
1610,GF456,develop, utveckla,silver,V,GF
1612,GF457,developer,utvecklare,silver,N,GF
1613,GF458,development environment,utvecklingsmiljö,silver,N,GF
1614,GF459,development process,utvecklingsprocess,silver,N,GF
1615,GF460,development,utveckling,silver,N,GF
1620,GF461,device driver,drivrutin,silver,N,GF
1625,GF462,device,enhet,silver,N,GF
1633,GF463,diagram,diagram,silver,N,GF
1639,GF464,dictionary,lexikon,silver,N,GF
1642,GF465,different,annorlunda,silver,A,GF
1643,GF466,differentiable,differentierbar,silver,A,GF
1644,GF467,differential equation,differentialekvation,silver,N,GF
1652,GF468,digital,digital,silver,A,GF
1658,GF469,digital signal processor,signalprocessor,silver,N,GF
1666,GF470,dimension,dimension,silver,N,GF
1667,GF471,dimensional,dimensionell,silver,A,GF
1669,GF472,diode,diod,silver,N,GF
1675,GF473,directional,riktad,silver,A,GF
1679,GF474,directory,katalog,silver,N,GF
1686,GF475,disaster,katastrof,silver,N,GF
1687,GF476,disc,disk,silver,N,GF
1695,GF477,discovery,upptäckt,silver,N,GF
1696,GF478,discreet,diskret,silver,A,GF
1697,GF479,discrete,diskret,silver,A,GF
1701,GF480,discrete mathematics,diskret matematik,silver,N,GF
1702,GF481,discretionary,oinskränkt,silver,A,GF
1704,GF482,discuss, diskutera,silver,V,GF
1706,GF483,disjunction,disjunktion,silver,N,GF
1708,GF484,disk,disk,silver,N,GF
1714,GF485,display, uppvisa,silver,V,GF
1715,GF486,display,bildskärm,silver,N,GF
1724,GF487,distribute, distribuera,silver,V,GF
1751,GF488,distributed systems,distribuerat system,silver,N,GF
1754,GF489,distribution,distribution,silver,N,GF
1756,GF490,distributor,återförsäljare,silver,N,GF
1758,GF491,divide, dela,silver,V,GF
1759,GF492,division,division,silver,N,GF
1770,GF493,document, dokumentera,silver,V,GF
1771,GF494,document,dokument,silver,N,GF
1774,GF495,documentation,dokumentation,silver,N,GF
1782,GF496,domain name system,domännamnssystem,silver,N,GF
1783,GF497,domain name,domännamn,silver,N,GF
1786,GF498,domain,domän,silver,N,GF
1789,GF499,domain-specific language,domänspecifikt språk,silver,N,GF
1795,GF500,dot,punkt,silver,N,GF
1796,GF501,double, dubbla,silver,V,GF
1797,GF502,double,dubbel,silver,N,GF
1802,GF503,download, hämta,silver,V,GF
1803,GF504,download,nedladdning,silver,N,GF
1805,GF505,drag, dra,silver,V,GF
1808,GF506,drive,disk,silver,N,GF
1810,GF507,drop, släppa,silver,V,GF
1811,GF508,drop,fall,silver,N,GF
1819,GF509,dynamic,dynamisk,silver,A,GF
1828,GF510,dynamic programming,dynamisk programmering,silver,N,GF
1833,GF511,dynamic,dynamik,silver,N,GF
1834,GF512,dynamics,dynamik,silver,N,GF
1856,GF513,edition,upplaga,silver,N,GF
1857,GF514,editor,redigerare,silver,N,GF
1862,GF515,education,utbildning,silver,N,GF
1863,GF516,educational program,utbildningsprogram,silver,N,GF
1864,GF517,educational programme,utbildningsprogram,silver,N,GF
1867,GF518,effect, genomföra,silver,V,GF
1868,GF519,effect,effekt,silver,N,GF
1869,GF520,effective,effektiv,silver,A,GF
1876,GF521,efficient,effektiv,silver,A,GF
1886,GF522,electrical,elektrisk,silver,A,GF
1888,GF523,electricity,elektricitet,silver,N,GF
1891,GF524,electromagnetic,elektromagnetisk,silver,A,GF
1892,GF525,electromagnetic wave,elektromagnetisk strålning,silver,N,GF
1896,GF526,electronic,elektronisk,silver,A,GF
1906,GF527,electronics,elektronik,silver,N,GF
1908,GF528,element,element,silver,N,GF
1913,GF529,elliptic,elliptisk,silver,A,GF
1917,GF530,embed, inbädda,silver,V,GF
1924,GF531,emergency,kris,silver,N,GF
1932,GF532,empirical,empirisk,silver,A,GF
1935,GF533,employee,anställd,silver,N,GF
1939,GF534,empty set,tom mängd,silver,N,GF
1945,GF535,enable, möjliggöra,silver,V,GF
1947,GF536,encapsulation,inkapsling,silver,N,GF
1949,GF537,encode, koda,silver,V,GF
1954,GF538,encrypt, kryptera,silver,V,GF
1956,GF539,encryption,kryptering,silver,N,GF
1958,GF540,end user,slutanvändare,silver,N,GF
1960,GF541,end, avsluta,silver,V,GF
1961,GF542,end,slut,silver,N,GF
1976,GF543,energy,energi,silver,N,GF
1981,GF544,engine,motor,silver,N,GF
1983,GF545,engineering,ingenjörsvetenskap,silver,N,GF
1988,GF546,enhance, höja,silver,V,GF
1992,GF547,enhancement,förbättring,silver,N,GF
2012,GF548,entity,entitet,silver,N,GF
2015,GF549,entry requirement,behörighet,silver,N,GF
2016,GF550,entry,inträde,silver,N,GF
2018,GF551,environment,miljö,silver,N,GF
2031,GF552,equalizer,utjämnare,silver,N,GF
2033,GF553,equation,ekvation,silver,N,GF
2035,GF554,equipment,utrustning,silver,N,GF
2052,GF555,error,fel,silver,N,GF
2060,GF556,escape, fly,silver,V,GF
2061,GF557,escape,flykt,silver,N,GF
2063,GF558,essential,essentiell,silver,A,GF
2065,GF559,essential,väsentlighet,silver,N,GF
2067,GF560,establish, etablera,silver,V,GF
2068,GF561,estimate, estimera,silver,V,GF
2073,GF562,ethernet,ethernet,silver,N,GF
2074,GF563,ethical aspect,etisk aspekt,silver,N,GF
2079,GF564,ethics,etik,silver,N,GF
2085,GF565,evaluate, evaluera,silver,V,GF
2089,GF566,evaluation,evaluering,silver,N,GF
2094,GF567,event,händelse,silver,N,GF
2099,GF568,evolution,evolution,silver,N,GF
2103,GF569,examination hall exam,salstentamen,silver,N,GF
2104,GF570,examination,examination,silver,N,GF
2107,GF571,example,exempel,silver,N,GF
2111,GF572,exception handling,undantagshantering,silver,N,GF
2112,GF573,exception,undantag,silver,N,GF
2115,GF574,exchange, byta,silver,V,GF
2116,GF575,exchange,utbyte,silver,N,GF
2121,GF576,executable,exekverbar,silver,A,GF
2123,GF577,execute, exekvera,silver,V,GF
2124,GF578,execution,exekvering,silver,N,GF
2125,GF579,exemplify, exemplifiera,silver,V,GF
2126,GF580,exercise,övning,silver,N,GF
2129,GF581,expand, utöka,silver,V,GF
2131,GF582,expansion bus,expansionskort,silver,N,GF
2132,GF583,expansion,expansion,silver,N,GF
2136,GF584,expense,utgift,silver,N,GF
2140,GF585,experience, erfarenhet,silver,V,GF
2142,GF586,experiment, experimentera,silver,V,GF
2148,GF587,expert,expert,silver,N,GF
2151,GF588,explicit,tydlig,silver,A,GF
2156,GF589,explore, utforska,silver,V,GF
2159,GF590,express, uttrycka,silver,V,GF
2160,GF591,expression,uttryck,silver,N,GF
2164,GF592,extend, utöka,silver,V,GF
